mean_EffectiveCoordination
var_EffectiveCoordination
min_EffectiveCoordination
max_EffectiveCoordination
var_MeanBondLength
min_MeanBondLength
max_MeanBondLength
mean_BondLengthVariation
var_BondLengthVariation
min_BondLengthVariation
max_BondLengthVariation
var_CellVolume
mean_WCMagnitude_Shell1
mean_WCMagnitude_Shell2
mean_WCMagnitude_Shell3
MaxPackingEfficiency
mean_NeighDiff_shell1_Number
var_NeighDiff_shell1_Number
min_NeighDiff_shell1_Number
max_NeighDiff_shell1_Number
range_NeighDiff_shell1_Number
mean_NeighDiff_shell1_MendeleevNumber
var_NeighDiff_shell1_MendeleevNumber
min_NeighDiff_shell1_MendeleevNumber
max_NeighDiff_shell1_MendeleevNumber
range_NeighDiff_shell1_MendeleevNumber
mean_NeighDiff_shell1_AtomicWeight
var_NeighDiff_shell1_AtomicWeight
min_NeighDiff_shell1_AtomicWeight
max_NeighDiff_shell1_AtomicWeight
range_NeighDiff_shell1_AtomicWeight
mean_NeighDiff_shell1_MeltingT
var_NeighDiff_shell1_MeltingT
min_NeighDiff_shell1_MeltingT
max_NeighDiff_shell1_MeltingT
range_NeighDiff_shell1_MeltingT
mean_NeighDiff_shell1_Column
var_NeighDiff_shell1_Column
min_NeighDiff_shell1_Column
max_NeighDiff_shell1_Column
range_NeighDiff_shell1_Column
mean_NeighDiff_shell1_Row
var_NeighDiff_shell1_Row
min_NeighDiff_shell1_Row
max_NeighDiff_shell1_Row
range_NeighDiff_shell1_Row
mean_NeighDiff_shell1_CovalentRadius
var_NeighDiff_shell1_CovalentRadius
min_NeighDiff_shell1_CovalentRadius
max_NeighDiff_shell1_CovalentRadius
range_NeighDiff_shell1_CovalentRadius
mean_NeighDiff_shell1_Electronegativity
var_NeighDiff_shell1_Electronegativity
min_NeighDiff_shell1_Electronegativity
max_NeighDiff_shell1_Electronegativity
range_NeighDiff_shell1_Electronegativity
mean_NeighDiff_shell1_NsValence
var_NeighDiff_shell1_NsValence
min_NeighDiff_shell1_NsValence
max_NeighDiff_shell1_NsValence
range_NeighDiff_shell1_NsValence
mean_NeighDiff_shell1_NpValence
var_NeighDiff_shell1_NpValence
min_NeighDiff_shell1_NpValence
max_NeighDiff_shell1_NpValence
range_NeighDiff_shell1_NpValence
mean_NeighDiff_shell1_NdValence
var_NeighDiff_shell1_NdValence
min_NeighDiff_shell1_NdValence
max_NeighDiff_shell1_NdValence
range_NeighDiff_shell1_NdValence
mean_NeighDiff_shell1_NfValence
var_NeighDiff_shell1_NfValence
min_NeighDiff_shell1_NfValence
max_NeighDiff_shell1_NfValence
range_NeighDiff_shell1_NfValence
mean_NeighDiff_shell1_NValance
var_NeighDiff_shell1_NValance
min_NeighDiff_shell1_NValance
max_NeighDiff_shell1_NValance
range_NeighDiff_shell1_NValance
mean_NeighDiff_shell1_NsUnfilled
var_NeighDiff_shell1_NsUnfilled
min_NeighDiff_shell1_NsUnfilled
max_NeighDiff_shell1_NsUnfilled
range_NeighDiff_shell1_NsUnfilled
mean_NeighDiff_shell1_NpUnfilled
var_NeighDiff_shell1_NpUnfilled
min_NeighDiff_shell1_NpUnfilled
